time,zaccel
0,-0.629826
1.00E-04,-0.631694
2.00E-04,-0.629826
3.00E-04,-0.629826
4.00E-04,-0.629826
5.00E-04,-0.633562
6.00E-04,-0.637297
7.00E-04,-0.639165
8.00E-04,-0.641032
9.00E-04,-0.639165
1.00E-03,-0.639165
1.10E-03,-0.6429
1.20E-03,-0.646635
1.30E-03,-0.652238
1.40E-03,-0.655974
1.50E-03,-0.663444
1.60E-03,-0.665312
1.70E-03,-0.661577
1.80E-03,-0.655974
1.90E-03,-0.648503
2.00E-03,-0.6429
2.10E-03,-0.635429
2.20E-03,-0.627959
2.30E-03,-0.620488
2.40E-03,-0.61862
2.50E-03,-0.61862
2.60E-03,-0.620488
2.70E-03,-0.631694
2.80E-03,-0.648503
2.90E-03,-0.669047
3.00E-03,-0.687724
3.10E-03,-0.697062
3.20E-03,-0.708268
3.30E-03,-0.708268
3.40E-03,-0.708268
3.50E-03,-0.702665
3.60E-03,-0.691459
3.70E-03,-0.672783
3.80E-03,-0.652238
3.90E-03,-0.641032
4.00E-03,-0.635429
4.10E-03,-0.635429
4.20E-03,-0.6429
4.30E-03,-0.652238
4.40E-03,-0.672783
4.50E-03,-0.695195
4.60E-03,-0.712004
4.70E-03,-0.730681
4.80E-03,-0.738151
4.90E-03,-0.740019
5.00E-03,-0.736284
5.10E-03,-0.725078
5.20E-03,-0.710136
5.30E-03,-0.689592
5.40E-03,-0.669047
5.50E-03,-0.652238
5.60E-03,-0.641032
5.70E-03,-0.631694
5.80E-03,-0.620488
5.90E-03,-0.626091
6.00E-03,-0.659709
6.10E-03,-0.680253
6.20E-03,-0.695195
6.30E-03,-0.719475
6.40E-03,-0.736284
6.50E-03,-0.741887
6.60E-03,-0.741887
6.70E-03,-0.734416
6.80E-03,-0.72321
6.90E-03,-0.710136
7.00E-03,-0.693327
7.10E-03,-0.682121
7.20E-03,-0.67465
7.30E-03,-0.66718
7.40E-03,-0.665312
7.50E-03,-0.665312
7.60E-03,-0.663444
7.70E-03,-0.659709
7.80E-03,-0.657841
7.90E-03,-0.655974
8.00E-03,-0.654106
8.10E-03,-0.655974
8.20E-03,-0.657841
8.30E-03,-0.657841
8.40E-03,-0.655974
8.50E-03,-0.657841
8.60E-03,-0.661577
8.70E-03,-0.66718
8.80E-03,-0.67465
8.90E-03,-0.676518
9.00E-03,-0.678386
9.10E-03,-0.670915
9.20E-03,-0.665312
9.30E-03,-0.659709
9.40E-03,-0.648503
9.50E-03,-0.646635
9.60E-03,-0.646635
9.70E-03,-0.646635
9.80E-03,-0.655974
9.90E-03,-0.67465
1.00E-02,-0.689592
1.01E-02,-0.697062
1.02E-02,-0.712004
1.03E-02,-0.712004
1.04E-02,-0.702665
1.05E-02,-0.700798
1.06E-02,-0.706401
1.07E-02,-0.69893
1.08E-02,-0.680253
1.09E-02,-0.66718
1.10E-02,-0.646635
1.11E-02,-0.637297
1.12E-02,-0.629826
1.13E-02,-0.629826
1.14E-02,-0.644768
1.15E-02,-0.655974
1.16E-02,-0.672783
1.17E-02,-0.685856
1.18E-02,-0.691459
1.19E-02,-0.693327
1.20E-02,-0.676518
1.21E-02,-0.67465
1.22E-02,-0.683989
1.23E-02,-0.665312
1.24E-02,-0.652238
