                ,pos_z
          1.4e-4,             0.0
         1.14e-3,             0.0
         2.14e-3,      8.23793e-9
         3.14e-3,      1.48843e-8
         4.14e-3,      1.99392e-8
         5.14e-3,      1.35731e-8
         6.14e-3,      5.61549e-9
         7.14e-3,      5.89579e-9
         8.14e-3,       1.4414e-8
         9.14e-3,      2.13407e-8
        1.014e-2,      3.65054e-8
        1.114e-2,      5.99079e-8
        1.214e-2,      9.15484e-8
        1.314e-2,      1.21597e-7
        1.414e-2,      1.40225e-7
        1.514e-2,      1.57262e-7
        1.614e-2,      1.82536e-7
        1.714e-2,      2.06219e-7
        1.814e-2,      2.18481e-7
        1.914e-2,      2.29151e-7
        2.014e-2,      2.57889e-7
        2.114e-2,      2.94865e-7
        2.214e-2,      3.30249e-7
        2.314e-2,      3.64041e-7
        2.414e-2,      4.15901e-7
        2.514e-2,      4.85829e-7
        2.614e-2,      5.54165e-7
        2.714e-2,       6.1108e-7
        2.814e-2,      6.66403e-7
        2.914e-2,      7.39794e-7
        3.014e-2,      8.11593e-7
        3.114e-2,      8.71971e-7
        3.214e-2,      9.30758e-7
        3.314e-2,      1.00761e-6
        3.414e-2,       1.0927e-6
        3.514e-2,       1.1762e-6
        3.614e-2,      1.25811e-6
        3.714e-2,      1.34826e-6
        3.814e-2,      1.45647e-6
        3.914e-2,       1.5631e-6
        4.014e-2,       1.6583e-6
        4.114e-2,      1.75191e-6
        4.214e-2,      1.86359e-6
        4.314e-2,       1.9835e-6
        4.414e-2,        2.092e-6
        4.514e-2,      2.18907e-6
        4.614e-2,      2.29438e-6
        4.714e-2,      2.41776e-6
        4.814e-2,      2.53955e-6
        4.914e-2,      2.64991e-6
        5.014e-2,      2.75869e-6
        5.114e-2,       2.8757e-6
        5.214e-2,      2.99112e-6
        5.314e-2,      3.09512e-6
        5.414e-2,      3.19753e-6
        5.514e-2,      3.30818e-6
        5.614e-2,      3.42706e-6
        5.714e-2,      3.53453e-6
        5.814e-2,      3.63057e-6
        5.914e-2,      3.73485e-6
        6.014e-2,      3.84737e-6
        6.114e-2,      3.94847e-6
        6.214e-2,      4.03814e-6
        6.314e-2,      4.12623e-6
        6.414e-2,      4.22255e-6
        6.514e-2,      4.31728e-6
        6.614e-2,      4.40059e-6
        6.714e-2,      4.48231e-6
        6.814e-2,      4.57227e-6
        6.914e-2,      4.66063e-6
        7.014e-2,      4.73758e-6
        7.114e-2,       4.8031e-6
        7.214e-2,      4.86703e-6
        7.314e-2,      4.92937e-6
        7.414e-2,      4.99012e-6
        7.514e-2,      5.03945e-6
        7.614e-2,      5.08719e-6
        7.714e-2,      5.13333e-6
        7.814e-2,      5.18772e-6
        7.914e-2,      5.24051e-6
        8.014e-2,      5.28188e-6
        8.114e-2,      5.31183e-6
        8.214e-2,      5.34018e-6
        8.314e-2,      5.36695e-6
        8.414e-2,       5.3823e-6
        8.514e-2,      5.38622e-6
        8.614e-2,      5.38855e-6
        8.714e-2,      5.38929e-6
        8.814e-2,      5.38844e-6
        8.914e-2,        5.386e-6
        9.014e-2,      5.38197e-6
        9.114e-2,      5.38617e-6
        9.214e-2,      5.38879e-6
        9.314e-2,      5.37998e-6
        9.414e-2,      5.35975e-6
        9.514e-2,      5.33793e-6
        9.614e-2,      5.31452e-6
        9.714e-2,      5.27968e-6
        9.814e-2,      5.23343e-6
        9.914e-2,      5.18558e-6
         0.10014,      5.14598e-6
         0.10114,      5.10478e-6
         0.10214,      5.06199e-6
         0.10314,       5.0176e-6
         0.10414,      4.98146e-6
         0.10514,      4.94373e-6
         0.10614,      4.89457e-6
         0.10714,      4.84382e-6
         0.10814,      4.79148e-6
         0.10914,      4.74738e-6
         0.11014,      4.70169e-6
         0.11114,      4.64457e-6
         0.11214,      4.58587e-6
         0.11314,       4.5354e-6
         0.11414,      4.49317e-6
         0.11514,      4.45918e-6
         0.11614,      4.42359e-6
         0.11714,      4.38642e-6
         0.11814,      4.35748e-6
         0.11914,      4.32695e-6
         0.12014,      4.29483e-6
         0.12114,      4.26112e-6
         0.12214,      4.22582e-6
         0.12314,      4.19875e-6
         0.12414,      4.17009e-6
         0.12514,      4.13985e-6
         0.12614,      4.11784e-6
         0.12714,      4.10406e-6
         0.12814,       4.0887e-6
         0.12914,      4.07174e-6
         0.13014,       4.0532e-6
         0.13114,      4.04289e-6
         0.13214,      4.03099e-6
         0.13314,      4.01749e-6
         0.13414,      3.99258e-6
         0.13514,      3.96608e-6
         0.13614,      3.94781e-6
         0.13714,      3.92795e-6
         0.13814,       3.9065e-6
         0.13914,      3.88346e-6
         0.14014,      3.86866e-6
         0.14114,      3.86209e-6
         0.14214,      3.85393e-6
         0.14314,      3.84419e-6
         0.14414,      3.83285e-6
         0.14514,      3.81991e-6
         0.14614,      3.79556e-6
         0.14714,      3.76962e-6
         0.14814,      3.74208e-6
         0.14914,      3.72278e-6
         0.15014,      3.71172e-6
         0.15114,      3.69907e-6
         0.15214,      3.68483e-6
         0.15314,      3.67883e-6
         0.15414,      3.68106e-6
         0.15514,       3.6817e-6
         0.15614,      3.67092e-6
         0.15714,      3.65855e-6
         0.15814,      3.64459e-6
         0.15914,      3.62903e-6
         0.16014,      3.60206e-6
         0.16114,      3.56366e-6
         0.16214,       3.5335e-6
         0.16314,      3.51158e-6
         0.16414,      3.47824e-6
         0.16514,      3.43348e-6
         0.16614,      3.38713e-6
         0.16714,      3.34901e-6
         0.16814,      3.30931e-6
         0.16914,      3.25818e-6
         0.17014,      3.19563e-6
         0.17114,      3.13149e-6
         0.17214,      3.07558e-6
         0.17314,      3.01809e-6
         0.17414,        2.959e-6
         0.17514,      2.89833e-6
         0.17614,      2.84589e-6
         0.17714,      2.79186e-6
         0.17814,       2.7264e-6
         0.17914,      2.65936e-6
         0.18014,      2.59073e-6
         0.18114,      2.51067e-6
         0.18214,      2.41919e-6
         0.18314,      2.32613e-6
         0.18414,      2.23147e-6
         0.18514,      2.14504e-6
         0.18614,      2.05703e-6
         0.18714,       1.9576e-6
         0.18814,      1.85657e-6
         0.18914,      1.75395e-6
         0.19014,      1.64974e-6
         0.19114,      1.53411e-6
         0.19214,      1.40706e-6
         0.19314,      1.27842e-6
         0.19414,      1.14819e-6
         0.19514,      1.01636e-6
         0.19614,      8.82943e-7
         0.19714,      7.47934e-7
         0.19814,      6.21164e-7
         0.19914,      4.92801e-7
         0.20014,      3.53018e-7
         0.20114,      2.11643e-7
         0.20214,      7.85066e-8
         0.20314,     -5.62217e-8
         0.20414,     -2.02371e-7
         0.20514,     -3.59941e-7
         0.20614,     -5.19103e-7
         0.20714,     -6.70027e-7
         0.20814,     -8.12713e-7
         0.20914,      -9.5699e-7
         0.21014,     -1.10286e-6
         0.21114,     -1.24049e-6
         0.21214,     -1.36988e-6
         0.21314,      -1.5107e-6
         0.21414,      -1.6531e-6
         0.21514,      -1.7971e-6
         0.21614,     -1.94269e-6
         0.21714,     -2.08987e-6
         0.21814,     -2.23864e-6
         0.21914,       -2.389e-6
         0.22014,     -2.53113e-6
         0.22114,     -2.66502e-6
         0.22214,      -2.8005e-6
         0.22314,     -2.93757e-6
         0.22414,      -3.0664e-6
         0.22514,     -3.18699e-6
         0.22614,     -3.29935e-6
         0.22714,     -3.42313e-6
         0.22814,      -3.5485e-6
         0.22914,     -3.66563e-6
         0.23014,     -3.77452e-6
         0.23114,     -3.88501e-6
         0.23214,     -3.99708e-6
         0.23314,     -4.11075e-6
         0.23414,     -4.21618e-6
         0.23514,      -4.3232e-6
         0.23614,     -4.43182e-6
         0.23714,     -4.53219e-6
         0.23814,     -4.63416e-6
         0.23914,     -4.73771e-6
         0.24014,     -4.84286e-6
         0.24114,     -4.94961e-6
         0.24214,     -5.04811e-6
         0.24314,     -5.13837e-6
         0.24414,     -5.23023e-6
         0.24514,     -5.32368e-6
         0.24614,     -5.40889e-6
         0.24714,     -5.48586e-6
         0.24814,      -5.5546e-6
         0.24914,     -5.62492e-6
         0.25014,     -5.69684e-6
         0.25114,     -5.76052e-6
         0.25214,     -5.81596e-6
         0.25314,       -5.873e-6
         0.25414,     -5.93162e-6
         0.25514,     -5.98201e-6
         0.25614,     -6.02416e-6
         0.25714,     -6.05807e-6
         0.25814,     -6.09357e-6
         0.25914,     -6.13066e-6
         0.26014,     -6.15952e-6
         0.26114,     -6.18997e-6
         0.26214,     -6.22201e-6
         0.26314,     -6.25564e-6
         0.26414,     -6.29086e-6
         0.26514,     -6.31784e-6
         0.26614,     -6.33659e-6
         0.26714,     -6.35693e-6
         0.26814,     -6.37886e-6
         0.26914,     -6.40238e-6
         0.27014,     -6.41766e-6
         0.27114,     -6.43454e-6
         0.27214,     -6.46283e-6
         0.27314,     -6.49272e-6
         0.27414,     -6.51437e-6
         0.27514,     -6.53761e-6
         0.27614,     -6.57227e-6
         0.27714,     -6.61835e-6
         0.27814,     -6.66603e-6
         0.27914,     -6.70546e-6
         0.28014,     -6.74649e-6
         0.28114,     -6.79894e-6
         0.28214,     -6.85298e-6
         0.28314,     -6.89878e-6
         0.28414,     -6.94618e-6
         0.28514,     -7.00499e-6
         0.28614,     -7.07523e-6
         0.28714,     -7.14706e-6
         0.28814,     -7.21065e-6
         0.28914,     -7.28566e-6
         0.29014,     -7.37209e-6
         0.29114,     -7.46011e-6
         0.29214,     -7.54972e-6
         0.29314,     -7.64093e-6
         0.29414,     -7.74356e-6
         0.29514,     -7.84778e-6
         0.29614,     -7.94376e-6
         0.29714,     -8.04133e-6
         0.29814,     -8.15032e-6
         0.29914,     -8.27074e-6
         0.30014,     -8.38291e-6
         0.30114,     -8.48685e-6
         0.30214,     -8.60221e-6
         0.30314,     -8.72899e-6
         0.30414,     -8.84753e-6
         0.30514,     -8.95783e-6
         0.30614,     -9.06973e-6
         0.30714,     -9.19305e-6
         0.30814,     -9.32779e-6
         0.30914,     -9.45428e-6
         0.31014,     -9.58238e-6
         0.31114,     -9.72189e-6
         0.31214,     -9.87282e-6
         0.31314,     -1.00155e-5
         0.31414,       -1.015e-5
         0.31514,      -1.0286e-5
         0.31614,     -1.04335e-5
         0.31714,     -1.05826e-5
         0.31814,     -1.07234e-5
         0.31914,      -1.0856e-5
         0.32014,         -1.1e-5
         0.32114,     -1.11554e-5
         0.32214,     -1.13124e-5
         0.32314,     -1.14612e-5
         0.32414,     -1.16116e-5
         0.32514,     -1.17635e-5
         0.32614,     -1.19073e-5
         0.32714,     -1.20427e-5
         0.32814,       -1.217e-5
         0.32914,     -1.22988e-5
         0.33014,     -1.24293e-5
         0.33114,     -1.25515e-5
         0.33214,     -1.26753e-5
         0.33314,     -1.28006e-5
         0.33414,     -1.29276e-5
         0.33514,     -1.30562e-5
         0.33614,     -1.31765e-5
         0.33714,     -1.32886e-5
         0.33814,     -1.34023e-5
         0.33914,     -1.35077e-5
         0.34014,     -1.36049e-5
         0.34114,     -1.36939e-5
         0.34214,     -1.37844e-5
         0.34314,     -1.38864e-5
         0.34414,     -1.39801e-5
         0.34514,     -1.40656e-5
         0.34614,     -1.41527e-5
         0.34714,     -1.42414e-5
         0.34814,     -1.43317e-5
         0.34914,     -1.44137e-5
         0.35014,     -1.44875e-5
         0.35114,     -1.45531e-5
         0.35214,     -1.46301e-5
         0.35314,     -1.47086e-5
         0.35414,      -1.4779e-5
         0.35514,     -1.48509e-5
         0.35614,     -1.49244e-5
         0.35714,     -1.49995e-5
         0.35814,     -1.50664e-5
         0.35914,      -1.5125e-5
         0.36014,     -1.51853e-5
         0.36114,     -1.52471e-5
         0.36214,     -1.53006e-5
         0.36314,      -1.5346e-5
         0.36414,     -1.53929e-5
         0.36514,     -1.54414e-5
         0.36614,     -1.54916e-5
         0.36714,     -1.55334e-5
         0.36814,     -1.55769e-5
         0.36914,     -1.56318e-5
         0.37014,     -1.56981e-5
         0.37114,     -1.57562e-5
         0.37214,      -1.5806e-5
         0.37314,     -1.58575e-5
         0.37414,     -1.59105e-5
         0.37514,     -1.59553e-5
         0.37614,      -1.5982e-5
         0.37714,     -1.60004e-5
         0.37814,     -1.60303e-5
         0.37914,     -1.60717e-5
         0.38014,     -1.61047e-5
         0.38114,     -1.61296e-5
         0.38214,      -1.6156e-5
         0.38314,     -1.61939e-5
         0.38414,     -1.62333e-5
         0.38514,     -1.62645e-5
         0.38614,     -1.62973e-5
         0.38714,     -1.63415e-5
         0.38814,     -1.63873e-5
         0.38914,     -1.64347e-5
         0.39014,     -1.64837e-5
         0.39114,     -1.65442e-5
         0.39214,      -1.6616e-5
         0.39314,     -1.66894e-5
         0.39414,     -1.67644e-5
         0.39514,     -1.68411e-5
         0.39614,     -1.69291e-5
         0.39714,     -1.70187e-5
         0.39814,     -1.71001e-5
         0.39914,     -1.71831e-5
         0.40014,     -1.72775e-5
         0.40114,     -1.73833e-5
         0.40214,     -1.74907e-5
         0.40314,     -1.75997e-5
         0.40414,     -1.77201e-5
         0.40514,     -1.78618e-5
         0.40614,     -1.80051e-5
         0.40714,     -1.81401e-5
         0.40814,     -1.82767e-5
         0.40914,     -1.84248e-5
         0.41014,     -1.85744e-5
         0.41114,     -1.87158e-5
         0.41214,     -1.88489e-5
         0.41314,     -1.89935e-5
         0.41414,     -1.91593e-5
         0.41514,     -1.93268e-5
         0.41614,     -1.94859e-5
         0.41714,     -1.96467e-5
         0.41814,     -1.98189e-5
         0.41914,     -2.00025e-5
         0.42014,     -2.01779e-5
         0.42114,      -2.0345e-5
         0.42214,     -2.05138e-5
         0.42314,     -2.06939e-5
         0.42414,     -2.08757e-5
         0.42514,     -2.10492e-5
         0.42614,     -2.12243e-5
         0.42714,     -2.14108e-5
         0.42814,     -2.15989e-5
         0.42914,     -2.17787e-5
         0.43014,     -2.19602e-5
         0.43114,     -2.21433e-5
         0.43214,     -2.23279e-5
         0.43314,     -2.24945e-5
         0.43414,      -2.2643e-5
         0.43514,     -2.27931e-5
         0.43614,     -2.29546e-5
         0.43714,     -2.31177e-5
         0.43814,     -2.32726e-5
         0.43914,     -2.34291e-5
         0.44014,      -2.3597e-5
         0.44114,     -2.37763e-5
         0.44214,     -2.39375e-5
         0.44314,     -2.40807e-5
         0.44414,     -2.42255e-5
         0.44514,     -2.43718e-5
         0.44614,     -2.45099e-5
         0.44714,       -2.463e-5
         0.44814,     -2.47418e-5
         0.44914,      -2.4865e-5
         0.45014,     -2.49899e-5
         0.45114,     -2.51065e-5
         0.45214,     -2.52246e-5
         0.45314,     -2.53444e-5
         0.45414,     -2.54658e-5
         0.45514,     -2.55789e-5
         0.45614,      -2.5674e-5
         0.45714,     -2.57608e-5
         0.45814,     -2.58492e-5
         0.45914,     -2.59392e-5
         0.46014,      -2.6021e-5
         0.46114,     -2.60945e-5
         0.46214,     -2.61696e-5
         0.46314,     -2.62463e-5
         0.46414,     -2.63148e-5
         0.46514,      -2.6375e-5
         0.46614,     -2.64369e-5
         0.46714,     -2.65101e-5
         0.46814,     -2.65751e-5
         0.46914,     -2.66221e-5
         0.47014,     -2.66608e-5
         0.47114,     -2.67011e-5
         0.47214,     -2.67528e-5
         0.47314,     -2.67963e-5
         0.47414,     -2.68315e-5
         0.47514,     -2.68683e-5
         0.47614,     -2.69166e-5
         0.47714,     -2.69664e-5
         0.47814,      -2.7008e-5
         0.47914,     -2.70512e-5
         0.48014,      -2.7096e-5
         0.48114,     -2.71424e-5
         0.48214,     -2.71805e-5
         0.48314,     -2.72105e-5
         0.48414,      -2.7242e-5
         0.48514,     -2.72849e-5
         0.48614,     -2.73294e-5
         0.48714,     -2.73755e-5
         0.48814,     -2.74232e-5
         0.48914,     -2.74823e-5
         0.49014,     -2.75528e-5
         0.49114,     -2.76249e-5
         0.49214,     -2.76888e-5
         0.49314,     -2.77543e-5
         0.49414,     -2.78214e-5
         0.49514,     -2.78901e-5
         0.49614,     -2.79603e-5
         0.49714,     -2.80322e-5
         0.49814,     -2.81154e-5
         0.49914,     -2.82101e-5
         0.50014,     -2.83064e-5
         0.50114,     -2.84043e-5
         0.50214,     -2.85037e-5
         0.50314,     -2.86048e-5
         0.50414,     -2.87074e-5
         0.50514,     -2.88018e-5
         0.50614,     -2.88978e-5
         0.50714,     -2.90052e-5
         0.50814,     -2.91241e-5
         0.50914,     -2.92347e-5
         0.51014,     -2.93469e-5
         0.51114,     -2.94705e-5
         0.51214,     -2.96055e-5
         0.51314,     -2.97422e-5
         0.51414,     -2.98804e-5
         0.51514,     -3.00202e-5
         0.51614,     -3.01714e-5
         0.51714,     -3.03243e-5
         0.51814,     -3.04688e-5
         0.51914,      -3.0615e-5
         0.52014,     -3.07726e-5
         0.52114,     -3.09318e-5
         0.52214,     -3.10926e-5
         0.52314,      -3.1255e-5
         0.52414,     -3.14189e-5
         0.52514,     -3.15845e-5
         0.52614,     -3.17516e-5
         0.52714,     -3.19204e-5
         0.52814,     -3.20809e-5
         0.52914,      -3.2243e-5
         0.53014,     -3.24066e-5
         0.53114,     -3.25719e-5
         0.53214,      -3.2729e-5
